id,name,pattern,primary_muscle,primary_region,cns_load,skill_level,compound,is_complex_lift,is_unilateral,metric_type,description,substitution_group,user_id,fatigue_factor,stimulus_factor,injury_risk_factor,min_recovery_hours,spinal_compression,tier,metabolic_demand,biomechanics_profile,embedding_description
376,Air Squats,squat,quadriceps,lower body,moderate,intermediate,true,false,false,reps,,,,0.6,0.8,0.4,48,none,bronze,anabolic,,"Movement: Air Squats Pattern: MovementPattern.SQUAT Primary muscle: PrimaryMuscle.QUADRICEPS Primary region: PrimaryRegion.LOWER_BODY Characteristics: compound=True, unilateral=False, complex_lift=False CNS load: CNSLoad.MODERATE Skill level: SkillLevel.INTERMEDIATE Spinal compression: SpinalCompression.NONE Tier: MovementTier.BRONZE Metabolic demand: MetabolicDemand.ANABOLIC Metric type: MetricType.REPS Disciplines: crossfit"
11,Good Morning,hinge,hamstrings,posterior lower,high,advanced,true,false,false,reps,,good_morning,,0.7999999999999999,0.95,0.6,48,none,bronze,anabolic,,"Movement: Good Morning Pattern: MovementPattern.HINGE Primary muscle: PrimaryMuscle.HAMSTRINGS Primary region: PrimaryRegion.POSTERIOR_LOWER Characteristics: compound=True, unilateral=False, complex_lift=False CNS load: CNSLoad.HIGH Skill level: SkillLevel.ADVANCED Spinal compression: SpinalCompression.NONE Tier: MovementTier.BRONZE Metabolic demand: MetabolicDemand.ANABOLIC Metric type: MetricType.REPS Equipment: barbell Tags: strength Disciplines: powerlifting Substitution group: good_morning"
12,Kettlebell Swing,hinge,glutes,posterior lower,moderate,intermediate,true,false,false,reps,,kb_swing,,0.6,0.8,0.4,48,none,bronze,anabolic,,"Movement: Kettlebell Swing Pattern: MovementPattern.HINGE Primary muscle: PrimaryMuscle.GLUTES Primary region: PrimaryRegion.POSTERIOR_LOWER Characteristics: compound=True, unilateral=False, complex_lift=False CNS load: CNSLoad.MODERATE Skill level: SkillLevel.INTERMEDIATE Spinal compression: SpinalCompression.NONE Tier: MovementTier.BRONZE Metabolic demand: MetabolicDemand.ANABOLIC Metric type: MetricType.REPS Equipment: kettlebell Tags: athleticism, endurance Substitution group: kb_swing"
14,Incline Bench Press,horizontal_push,chest,anterior upper,high,intermediate,true,false,false,reps,,incline_press,,0.7999999999999999,0.95,0.4,48,none,bronze,anabolic,,"Movement: Incline Bench Press Pattern: MovementPattern.HORIZONTAL_PUSH Primary muscle: PrimaryMuscle.CHEST Primary region: PrimaryRegion.ANTERIOR_UPPER Characteristics: compound=True, unilateral=False, complex_lift=False CNS load: CNSLoad.HIGH Skill level: SkillLevel.INTERMEDIATE Spinal compression: SpinalCompression.NONE Tier: MovementTier.BRONZE Metabolic demand: MetabolicDemand.ANABOLIC Metric type: MetricType.REPS Equipment: barbell, dumbbell, bench Tags: strength, hypertrophy Substitution group: incline_press"
15,Dumbbell Chest Press,horizontal_push,chest,anterior upper,moderate,beginner,true,false,false,reps,,bench_press,,0.6,0.8,0.2,48,none,bronze,anabolic,,"Movement: Dumbbell Chest Press Pattern: MovementPattern.HORIZONTAL_PUSH Primary muscle: PrimaryMuscle.CHEST Primary region: PrimaryRegion.ANTERIOR_UPPER Characteristics: compound=True, unilateral=False, complex_lift=False CNS load: CNSLoad.MODERATE Skill level: SkillLevel.BEGINNER Spinal compression: SpinalCompression.NONE Tier: MovementTier.BRONZE Metabolic demand: MetabolicDemand.ANABOLIC Metric type: MetricType.REPS Equipment: dumbbell, bench Tags: hypertrophy Disciplines: crossfit Substitution group: bench_press"
23,Single Arm Row,horizontal_pull,lats,posterior upper,moderate,beginner,true,false,true,reps,,row_unilateral,,0.6,0.8,0.30000000000000004,48,none,bronze,anabolic,,"Movement: Single Arm Row Pattern: MovementPattern.HORIZONTAL_PULL Primary muscle: PrimaryMuscle.LATS Primary region: PrimaryRegion.POSTERIOR_UPPER Characteristics: compound=True, unilateral=True, complex_lift=False CNS load: CNSLoad.MODERATE Skill level: SkillLevel.BEGINNER Spinal compression: SpinalCompression.NONE Tier: MovementTier.BRONZE Metabolic demand: MetabolicDemand.ANABOLIC Metric type: MetricType.REPS Equipment: cable, kettlebell, dumbbell Tags: hypertrophy Substitution group: row_unilateral"
24,Seated Cable Row,horizontal_pull,lats,posterior upper,moderate,beginner,true,false,false,reps,,row_bilateral,,0.6,0.8,0.2,48,none,bronze,anabolic,,"Movement: Seated Cable Row Pattern: MovementPattern.HORIZONTAL_PULL Primary muscle: PrimaryMuscle.LATS Primary region: PrimaryRegion.POSTERIOR_UPPER Characteristics: compound=True, unilateral=False, complex_lift=False CNS load: CNSLoad.MODERATE Skill level: SkillLevel.BEGINNER Spinal compression: SpinalCompression.NONE Tier: MovementTier.BRONZE Metabolic demand: MetabolicDemand.ANABOLIC Metric type: MetricType.REPS Equipment: cable Tags: hypertrophy Substitution group: row_bilateral"
25,Inverted Row,horizontal_pull,upper_back,posterior upper,low,beginner,true,false,false,reps,,row_bodyweight,,0.4,0.8,0.2,24,none,bronze,anabolic,,"Movement: Inverted Row Pattern: MovementPattern.HORIZONTAL_PULL Primary muscle: PrimaryMuscle.UPPER_BACK Primary region: PrimaryRegion.POSTERIOR_UPPER Characteristics: compound=True, unilateral=False, complex_lift=False CNS load: CNSLoad.LOW Skill level: SkillLevel.BEGINNER Spinal compression: SpinalCompression.NONE Tier: MovementTier.BRONZE Metabolic demand: MetabolicDemand.ANABOLIC Metric type: MetricType.REPS Equipment: none, rings Disciplines: calisthenics Substitution group: row_bodyweight"
28,Lat Pulldown,vertical_pull,lats,posterior upper,low,beginner,true,false,false,reps,,pulldown,,0.4,0.8,0.2,24,none,bronze,anabolic,,"Movement: Lat Pulldown Pattern: MovementPattern.VERTICAL_PULL Primary muscle: PrimaryMuscle.LATS Primary region: PrimaryRegion.POSTERIOR_UPPER Characteristics: compound=True, unilateral=False, complex_lift=False CNS load: CNSLoad.LOW Skill level: SkillLevel.BEGINNER Spinal compression: SpinalCompression.NONE Tier: MovementTier.BRONZE Metabolic demand: MetabolicDemand.ANABOLIC Metric type: MetricType.REPS Equipment: cable Tags: hypertrophy Substitution group: pulldown"
29,Muscle-Up,vertical_pull,lats,posterior upper,high,elite,true,true,false,reps,,muscle_up,,0.7999999999999999,1,1,48,none,bronze,anabolic,,"Movement: Muscle-Up Pattern: MovementPattern.VERTICAL_PULL Primary muscle: PrimaryMuscle.LATS Primary region: PrimaryRegion.POSTERIOR_UPPER Characteristics: compound=True, unilateral=False, complex_lift=True CNS load: CNSLoad.HIGH Skill level: SkillLevel.ELITE Spinal compression: SpinalCompression.NONE Tier: MovementTier.BRONZE Metabolic demand: MetabolicDemand.ANABOLIC Metric type: MetricType.REPS Equipment: none, pull_up_bar, rings Tags: athleticism Disciplines: calisthenics Substitution group: muscle_up"
61,Wall Sit,isometric,quadriceps,anterior lower,low,beginner,true,false,false,time,,wall_sit,,0.4,0.8,0.2,24,none,bronze,anabolic,,"Movement: Wall Sit Pattern: MovementPattern.ISOMETRIC Primary muscle: PrimaryMuscle.QUADRICEPS Primary region: PrimaryRegion.ANTERIOR_LOWER Characteristics: compound=True, unilateral=False, complex_lift=False CNS load: CNSLoad.LOW Skill level: SkillLevel.BEGINNER Spinal compression: SpinalCompression.NONE Tier: MovementTier.BRONZE Metabolic demand: MetabolicDemand.ANABOLIC Metric type: MetricType.TIME Equipment: none, wall Tags: endurance, isometric Substitution group: wall_sit"
64,Battle Rope Wave,core,core,full body,moderate,beginner,true,false,false,time,,battle_rope,,0.6,0.8,0.2,48,none,bronze,anabolic,,"Movement: Battle Rope Wave Pattern: MovementPattern.CORE Primary muscle: PrimaryMuscle.CORE Primary region: PrimaryRegion.FULL_BODY Characteristics: compound=True, unilateral=False, complex_lift=False CNS load: CNSLoad.MODERATE Skill level: SkillLevel.BEGINNER Spinal compression: SpinalCompression.NONE Tier: MovementTier.BRONZE Metabolic demand: MetabolicDemand.ANABOLIC Metric type: MetricType.TIME Equipment: battle_rope Tags: athleticism, endurance Substitution group: battle_rope"
