"id","movement_id","cue_text","order"
7349,256,Repeat for the desired number of repetitions.,4
6589,72,Lie on the floor with the knees bent and the feet on the floor around 18-24 inches apart. Your arms should be extended by your side. This will be your starting position.,0
6590,72,Crunch over your torso forward and up about 3-4 inches to the right side and touch your right heel as you hold the contraction for a second. Exhale while performing this movement.,1
6591,72,Now go back slowly to the starting position as you inhale.,2
6592,72,"Now crunch over your torso forward and up around 3-4 inches to the left side and touch your left heel as you hold the contraction for a second. Exhale while performing this movement and then go back to the starting position as you inhale. Now that both heels have been touched, that is considered 1 repetition.",3
6593,72,Continue alternating sides in this manner until all prescribed repetitions are done.,4
6594,264,"To begin, step onto the treadmill and select the desired option from the menu. Most treadmills have a manual setting, or you can select a program to run. Typically, you can enter your age and weight to estimate the amount of calories burned during exercise. Elevation can be adjusted to change the intensity of the workout.",0
6595,264,"Treadmills offer convenience, cardiovascular benefits, and usually have less impact than running outside. A 150 lb person will burn over 450 calories running 8 miles per hour for 30 minutes. Maintain proper posture as you run, and only hold onto the handles when necessary, such as when dismounting or checking your heart rate.",1
6596,75,Begin seated on the ground with your legs bent and your feet on the floor.,0
6597,75,"Using a Muscle Roller or a rolling pin, apply pressure to the muscles on the outside of your shins. Work from just below the knee to above the ankle, pausing at points of tension for 10-30 seconds. Repeat on the other leg.",1
6598,76,Stand up and extend your arms straight out by the sides. The arms should be parallel to the floor and perpendicular (90-degree angle) to your torso. This will be your starting position.,0
6599,76,Slowly start to make circles of about 1 foot in diameter with each outstretched arm. Breathe normally as you perform the movement.,1
6600,76,"Continue the circular motion of the outstretched arms for about ten seconds. Then reverse the movement, going the opposite direction.",2
6601,123,"Get on your hands and knees, walk your hands in front of you.",0
6602,123,Lower your buttocks down to sit on your heels. Let your arms drag along the floor as you sit back to stretch your entire spine.,1
6603,123,"Once you settle onto your heels, bring your hands next to your feet and relax. breathe into your back. Rest your forehead on the floor. Avoid this position if you have knee problems.",2
6604,227,Start off by lying on the floor.,0
6605,227,Extend one leg straight and pull the other knee to your chest. Hold under the knee joint to protect the kneecap.,1
6606,227,Gently tug that knee toward your nose.,2
6607,227,Switch sides. This stretches the buttocks and lower back of the bent leg and the hip flexor of the straight leg.,3
6608,228,"Lie down with your feet on the floor, heels directly under your knees.",0
6609,228,Lift only your tailbone to the ceiling to stretch your lower back. (Don't lift the entire spine yet.) Pull in your stomach.,1
6610,228,"To go into a bridge, lift the entire spine except the neck.",2
6611,229,"Lay on your side, supporting your weight on your forearm and on a foam roller placed on the outside of your lower leg. Your upper leg can either be on top of your lower leg, or you can cross it in front of you. This will be your starting position.",0
6612,229,"Raise your hips off of the ground and begin to roll from below the knee to above the ankle on the side of your leg, pausing at points of tension for 10-30 seconds. Repeat on the other leg.",1
6613,231,"Sit with your buttocks on top of a foam roll. Bend your knees, and then cross one leg so that the ankle is over the knee. This will be your starting position.",0
6614,231,"Shift your weight to the side of the crossed leg, rolling over the buttocks until you feel tension in your upper glute. You may assist the stretch by using one hand to pull the bent knee towards your chest. Hold this position for 10-30 seconds, and then switch sides.",1
6615,245,"Lay facedown on the floor with your weight supported by your hands or forearms. Place a foam roll underneath one leg on the quadriceps, and keep the foot off of the ground. Make sure to relax the leg as much as possible. This will be your starting position.",0
6616,245,"Shifting as much weight onto the leg to be stretched as is tolerable, roll over the foam from above the knee to below the hip, holding points of tension for 10-30 seconds. Switch sides.",1
6617,259,"Lay down with your back on the floor. Place a foam roll underneath your upper back, and cross your arms in front of you, protracting your shoulders. This will be your starting position.",0
6618,259,"Raise your hips off of the ground, placing your weight onto the foam roll. Shift your weight to one side at a time, rolling over your middle and upper back. Pause at points of tension for 10-30 seconds.",1
6619,269,Sit on the floor with your knees bent and your partner standing behind you. Extend your arms straight behind you with your palms facing each other. Your partner will hold your wrists for you. This will be the starting position.,0
6620,269,"Attempt to flex your elbows, while your partner prevents any actual movement.",1
6621,269,"After 10-20 seconds, relax your arms while your partner gently pulls your wrists up to stretch your biceps. Be sure to let your partner know when the stretch is appropriate to prevent injury or overstretching.",2
6622,270,"In a seated position with your knees bent, cross one ankle over the opposite knee. Your partner will stand behind you. Now, lean forward as your partner braces your shoulders with their hands. This will be your starting position.",0
6623,270,"Attempt to push your torso back for 10-20 seconds, as your partner prevents any actual movement of your torso.",1
6624,270,Now relax your muscles as your partner increases the stretch by gently pushing your torso forward for 10-20 seconds.,2
6625,271,"In a seated position with your legs extended, have your partner stand behind you. Now, lean forward as your partner braces your shoulders with their hands. This will be your starting position.",0
6626,271,"Attempt to push your torso back for 10-20 seconds, as your partner prevents any actual movement of your torso.",1
6627,271,Now relax your muscles as your partner increases the stretch by gently pushing your torso forward for 10-20 seconds.,2
6628,294,Stand with some space in front and behind you.,0
6629,294,"Bend at the waist, keeping your legs straight, until you can relax and let your upper body hang down in front of you. Let your arms and hands hang down naturally. Hold for 10 to 20 seconds.",1
6630,216,"Lie flat on the floor with your lower back pressed to the ground. For this exercise, you will need to put one hand beside your head and the other to the side against the floor.",0
