"id","source_movement_id","target_movement_id","relationship_type","notes"
1,3,2,progression,Barbell front loaded
2,20,21,progression,Vertical pressing
3,1,3,regression,"Forward-loaded, less spinal compression"
4,18,19,regression,"Unilateral, scapular mobility"
5,17,508,regression,Reduced shoulder extension
6,26,27,regression,"Supinated grip, stronger bicep contribution"
7,16,530,regression,Reduced load
8,21,20,regression,Vertical pressing without balance
9,42,37,regression,Static anti-extension
10,7,8,variation,"Knees soft, hip hinge focus"
11,1,2,variation,"Anterior load, more upright"
12,1,5,variation,Unilateral lunge pattern
13,13,508,variation,Tricep emphasis
14,13,14,variation,Upper chest emphasis
15,13,15,variation,"Unilateral, greater ROM"
16,26,27,variation,"Supinated grip, bicep emphasis"
17,37,38,variation,Lateral stability
18,37,42,variation,Anti-extension progression
19,34,35,variation,"Unilateral, core stability"
20,34,36,variation,Overhead stability
21,1,333,regression,
